actor,x,y,z,score,log_score,ranking_score,sector
Nvidia,-3.512296,-43.207527,50.20124,5.0,0.7781512503836436,5000000.0,Hardware
OLLAMA,-98.87244,-31.722067,1.3535972,6.0,0.8450980400142568,88.0,AI model
OpenAI,1.7804016,-40.93652,-90.38902,12.0,1.1139433523068367,157000.0,Unknown
Oracle,98.99313,257.4122,185.07408,5.0,0.7781512503836436,408000.0,Cloud Provider
Owkin,-8.457423,64.122406,-69.30872,11.0,1.0791812460476249,1000.0,AI model
Oxford Nanopore Technologies,-98.87244,-31.722067,1.3535972,6.0,0.8450980400142568,1440.0,AI model
Paige AI,-98.87244,-31.722067,1.3535972,3.0,0.6020599913279624,81.0,Biotech
Palantir,68.72194,-74.93991,46.902378,8.0,0.9542425094393249,318020.0,Defence
PharmAI,3.6575274,71.29402,-90.916695,3.0,0.6020599913279624,5.0,Biotech
PolyAI,2.1858141,-17.313112,85.065475,6.0,0.8450980400142568,750.0,AI model
Prognostix AB,-98.87244,-31.722067,1.3535972,4.0,0.6989700043360189,0.1,R&D
Prophesee,-46.379852,25.497711,13.187341,9.0,1.0,130.0,Computer Vision
Qualcomm,29.834713,-49.248486,84.285645,5.0,0.7781512503836436,172240.0,Hardware
Sakana AI,26.689102,-30.072218,-64.14918,9.0,1.0,2700.0,AI model
Salesforce,62.042847,-47.441654,11.197133,4.0,0.6989700043360189,180000.0,Professional Services
Samsung Electronics,-6.075526,47.99732,109.0021,9.0,1.0,1000300.0,Hardware
Scale AI,-98.87244,-31.722067,1.3535972,13.0,1.146128035678238,29000.0,Data
Semrush,-98.87244,-31.722067,1.3535972,3.0,0.6020599913279624,1960.0,Data
Shopify,-7.51672,86.8971,-3.8531492,7.0,0.9030899869919435,160000.0,Retail & E-commerce
Skylab,-98.87244,-31.722067,1.3535972,2.0,0.47712125471966244,1.0,ICT
SoftBank Group,-55.532402,74.17054,-38.66966,2.0,0.47712125471966244,27000.0,Retail & E-commerce
SpaceX,-0.5191453,9.184302,-89.03587,8.0,0.9542425094393249,1480000.0,Cloud Provider
Synthesia,79.57675,-37.213894,-41.455242,6.0,0.8450980400142568,4000.0,AI model
Tempus AI,-98.87244,-31.722067,1.3535972,3.0,0.6020599913279624,8490.0,Biotech
Tesla,-28.079723,-39.61355,-3.3177156,10.0,1.0413926851582251,1180000.0,Energy & Utilities
UiPath,-55.532402,74.17054,-38.66966,2.0,0.47712125471966244,6430.0,ICT
Volta medical,-98.87244,-31.722067,1.3535972,4.0,0.6989700043360189,90.0,AI model
Wayve,-1.4213116,-25.522333,8.870599,1.0,0.3010299956639812,8600.0,ICT
Weibo,-32.0009,-28.919882,-95.169014,8.0,0.9542425094393249,1900.0,Media & Entertainment
WhiteFiber,72.51415,30.779078,54.136692,8.0,0.9542425094393249,1060.0,Cloud Provider
World Labs,26.391108,-23.05477,-2.9300299,3.0,0.6020599913279624,5000.0,AI model
Y combinator,-98.87244,-31.722067,1.3535972,6.0,0.8450980400142568,600000.0,Unknown
YouTube,-46.259407,-6.532683,-56.809948,5.0,0.7781512503836436,400000.0,Media & Entertainment
