name,sector,main_competitors,cap_musd,funds_musd,ranking_score
IBM,"AI model, Cloud Provider, Professional Services","Microsoft, Oracle, Google Cloud, SAP, Accenture, Capgemini, Infosy, Cognizant, Tata, OpenIA, Palantir",213000.0,,213000.0
Databricks,ICT,"Snowflake, Google Cloud(BigQuery), AWS, Azure",188000.0,20000.0,188000.0
Salesforce,"Professional Services, Sales & Marketing, CRM","Microsoft (Dynamics 365), Oracle (CX Cloud) ,  SAP (Customer Experience), HubSpot",180000.0,,180000.0
Qualcomm,Hardware,"MediaTek, Nvidia, Apple Silicon, Samsung Electronics, Intel",172240.0,,172240.0
Shopify,Retail & E-commerce,"Salesforce, Adobe, Woocommerce, Wix ecommerce, Squarespace, SAP, Amazon",160000.0,,160000.0
OpenAI,,"Cohere, Anthropic, Deep Mind, Llama, Moonshot AI, Deepseek, Z.ai, Minimax, Alibaba Cloud, Tencent, Baidu, Bytedanse, Moonshot AI",157000.0,30000.0,157000.0
Waymo,"Transport & Mobility, AI model","Tesla, Zoox, Cruise, Baidu, WeRide",126000.0,27100.0,126000.0
Snowflake,Datalake,"Databricks, Google Cloud, Amazon(Redshift),",112000.0,1500.0,112000.0
Cambricon Technologies,"Hardware, ICT","Huawei , Moore Threads Technology, Hygon Information Technology, Biren Technology , Enflame, Alibaba Group (T-Head), Baidu, NVidia",104500.0,660.0,104500.0
Cloudflare,"Cloud Provider, IT & Security","Akamai, Fastly, Imperva, Amazon(AWS Shield), Microsoft(Azure)",103500.0,,103500.0
Ant Group,"Financial Services, AI model, ICT","Tencent, Visa, Mastercard, Stripe",103000.0,50.0,103000.0
Zhipu AI,,"Moonshot AI, DeepSeek, MiniMax, OpenAI , Anthropic",74000.0,2000.0,74000.0
DeepSeek,"AI model, ICT","OpenAI,  Anthropic, Moonshot AI (Kimi) , Zhipu AI,  Alibaba(Qwen).",60000.0,7400.0,60000.0
Anysphere,"AI model, Code, Saas","Google(Antigravity), Microsoft(GitHub Copilot), Anthropic(Claude Code), Windsurf, Codeium, OpenAI, meta(Muse)",60000.0,,60000.0
Microchip Technology Inc,,"NXP Semiconductors, STMicroelectronics, Renesas Electronics, Infineon Technologies, Texas Instruments, Analog Devices, onsemi",40000.0,,40000.0
Figure AI,Robotics,"Tesla (Optimus) , Boston Dynamics (Atlas), Agility Robotics (Digit),Unitree, AgiBot",39000.0,1900.0,39000.0
GitHub,"AI model, Professional Services","Gitlab, AtlassianBitBucket, Cursor, Anthropic, Hugging Face",35000.0,354.0,35000.0
Moonshot AI,AI model,"DeepSeek, Zhipu AI, OpenAI , Anthropic",35000.0,4500.0,35000.0
Scale AI,"Data, Annotation","Surge AI, Snorkel AI, Data Annotation, Appen, Telus digital, Sama, Cloudfactory, Labelbox, Superannotate, Encord,  iMerit, Refuel, PublicAI",29000.0,16000.0,29000.0
SoftBank Group,"Retail & E-commerce, Investor",N/A,27000.0,,27000.0
Cognition AI,"Professional Services, AI model, Code","Cursor, GitHub, Anthropic, Gitlab",26000.0,1000.0,26000.0
Kuaishou,"AI model, Computer Vision","ByteDance, Meta, OpenAI, Black Forest Labs, Runway, Midjourney",26000.0,,26000.0
Cohere,"AI model, Cloud Provider, ICT","Anthropic, Mistral, OpenAI, Meta, DeepMind",20000.0,1600.0,20000.0
Perplexity,"AI model, Hardware, ICT","OpenAI(Chatgpt), Deepmind(Gemini), Microsoft(Copilot), Anthropic(Claude), you.com",20000.0,1200.0,20000.0
Boston Dynamics,"Robotics, AI model","Figure AI , Tesla(Optimus), Agility Robotics, Unitree Robotics",20000.0,,20000.0
Anthropic,"Hardware, ICT","OpenAI, MistralAI, Deepmind, Cohere, Deepseek, Alibaba(Qwen)",18400.0,10000.0,18400.0
