company_1,company_2,similarity,distance
UiPath,Y combinator,0.44743285,0.5525671
UiPath,Acronis,0.44738325,0.5526167
Cerebras,5C,0.4472413,0.5527587
H Company,Comand AI,0.44668272,0.5533173
MiniMax,Aleph Alpha,0.44638172,0.5536183
MiniMax,Black Forest Labs,0.44613943,0.55386055
Anthropic,Prophesee,0.44602948,0.5539705
RobCo GmbH,H Company,0.44588497,0.55411506
Hailo Technologies,Appen,0.4458799,0.55412006
Scale AI,Applied Intuition,0.44577196,0.55422807
OpenAI,ManoMano,0.4457359,0.55426407
Wayve,UiPath,0.44464174,0.5553583
Anthropic,PhotoRoom,0.44456717,0.5554328
Cerebras,Hailo Technologies,0.4444732,0.5555268
Hugging Face,Prophesee,0.44426155,0.55573845
Anthropic,Aleph Alpha,0.4441996,0.55580044
MiniMax,Groq,0.4441518,0.55584824
Cohere,01.AI,0.4440004,0.55599964
Scale AI,Exotec,0.4438858,0.5561142
1X Technologies,PolyAI,0.44375736,0.55624264
ARM Holdings,Comand AI,0.44364652,0.55635345
World Labs,PhotoRoom,0.44345886,0.55654114
UiPath,Celonis,0.44299442,0.5570056
Scale AI,Palantir,0.44204777,0.5579522
World Labs,01.AI,0.44188297,0.55811703
AMD,Cambricon Technologies,0.4417851,0.5582149
Databricks,PhotoRoom,0.44157764,0.5584223
OpenAI,BenevolentAI,0.44142956,0.55857044
Apollo,Black Forest AI GmbH,0.4409303,0.5590697
Sakana AI,ARM Holdings,0.44092476,0.55907524
01.AI,Black Forest Labs,0.44083312,0.5591669
Perplexity AI,01.AI,0.4407705,0.5592295
Groq,Lightspeed,0.44068682,0.5593132
Anthropic,Cohere,0.44023496,0.55976504
ManoMano,Shift Technology,0.43976462,0.5602354
Anthropic,H Company,0.4395869,0.5604131
OpenAI,MiniMax,0.4393443,0.5606557
Mistral AI,World Labs,0.43929553,0.56070447
Cohere,Synthesia,0.438972,0.561028
Synthesia,Prophesee,0.4387099,0.5612901
AMD,01.AI,0.43860918,0.5613908
Mistral AI,5C,0.43856806,0.56143194
1X Technologies,Sakana AI,0.4384032,0.5615968
Hailo Technologies,RobCo GmbH,0.43824166,0.56175834
Alibaba,01.AI,0.4381659,0.5618341
Wayve,Aleph Alpha,0.43805426,0.56194574
AMI - Advanced Machine Intelligence,Hailo Technologies,0.43775934,0.56224066
MiniMax,5C,0.4377516,0.5622484
PolyAI,BenevolentAI,0.4377154,0.5622846
Anthropic,Owkin,0.43719614,0.56280386
Scale AI,Celonis,0.4369889,0.5630111
Synthesia,Exotec,0.43672538,0.5632746
Wayve,01.AI,0.43634075,0.56365925
01.AI,Shift Technology,0.43613303,0.563867
