id,name,capitalization,capitalization_millions,rank,rank_pct,cumulative_capitalization_millions,cumulative_share_pct
248,Ki Insurance,500.0,500.0,176,88.0,37718132.0,99.97420474162014
1965,Luminance,500.0,500.0,177,88.5,37718632.0,99.97553002205478
1822,PhotoRoom,500.0,500.0,178,89.0,37719132.0,99.97685530248943
1267,RobCo GmbH,500.0,500.0,179,89.5,37719632.0,99.97818058292407
36,Sidetrade,500.0,500.0,180,90.0,37720132.0,99.97950586335871
250,PhysicsX,487.0,487.0,181,90.5,37720619.0,99.98079668650205
186,AIAI Holdings Corporation,470.0,470.0,182,91.0,37721089.0,99.98204245011061
187,Serve Robotics,450.0,450.0,183,91.5,37721539.0,99.98323520250179
253,Builder,445.0,445.0,184,92.0,37721984.0,99.98441470208861
252,Exotec,445.0,445.0,185,92.5,37722429.0,99.98559420167545
254,Aiven,420.0,420.0,186,93.0,37722849.0,99.98670743724055
1835,Cradle,420.0,420.0,187,93.5,37723269.0,99.98782067280565
1562,Procore,406.0,406.0,188,94.0,37723675.0,99.98889680051857
247,Kandou AI,400.0,400.0,189,94.5,37724075.0,99.9899570248663
1923,OLLAMA,400.0,400.0,190,95.0,37724475.0,99.991017249214
255,Pigment,389.0,389.0,191,95.5,37724864.0,99.99204831739216
257,Entrepreneurs First,381.0,381.0,192,96.0,37725245.0,99.99305818108336
258,Gousto,374.0,374.0,193,96.5,37725619.0,99.99404949084845
1422,Text,345.0,345.0,194,97.0,37725964.0,99.99496393434836
188,One Stop Systems,340.0,340.0,195,97.5,37726304.0,99.99586512504392
135,Fal,330.0,330.0,196,98.0,37726634.0,99.99673981013079
144,Notion,330.0,330.0,197,98.5,37726964.0,99.99761449521765
1925,Corti,300.0,300.0,198,99.0,37727264.0,99.99840966347843
1823,Dust,300.0,300.0,199,99.5,37727564.0,99.99920483173922
1834,Indium,300.0,300.0,200,100.0,37727864.0,100.0
