actor,x,y,score,log_score,ranking_score,sector
Tesla,3.7145844,26.69106,14.0,1.1760912590556813,1180000.0,Energy & Utilities
Thomson Reuters,-0.9285902,42.134,7.0,0.9030899869919435,78000.0,Data
UiPath,-10.663847,-0.14143133,8.0,0.9542425094393249,6430.0,Manufacturing & Operations
Waymo,8.283301,27.523993,5.0,0.7781512503836436,126000.0,Transport & Mobility
Wayve,7.7542596,28.511908,7.0,0.9030899869919435,8600.0,ICT
WeRide,5.2562838,25.62399,3.0,0.6020599913279624,1940.0,Transport & Mobility
Weibo,2.1326241,-13.951409,7.0,0.9030899869919435,1900.0,Media & Entertainment
WhiteFiber,-4.315571,11.726811,8.0,0.9542425094393249,1060.0,Cloud Provider
World Labs,9.575411,-27.989105,3.0,0.6020599913279624,5000.0,AI model
YouTube,-3.6623387,-14.779192,5.0,0.7781512503836436,400000.0,Media & Entertainment
Yseop,-17.119349,-14.046369,5.0,0.7781512503836436,120.0,AI model
Zhipu AI,11.166857,-14.056409,5.0,0.7781512503836436,74000.0,Unknown
