name,competitor,count
Samsung Electronics,Hisense,1
Samsung Electronics,Tcl,1
AMD,Nvidia,1
AMD,Broadcom,1
AMD,Marvell,1
AMD,Intel,1
AMD,Qualcomm,1
AMD,Apple,1
AMD,Google,1
Y combinator,Techstars,1
Y combinator,500 Global,1
Y combinator,Sequoia,1
Y combinator,Horowitz,1
Y combinator,Antler,1
Y combinator,Entrepreneur First,1
ByteDance,Meta,1
ByteDance,Google,1
ByteDance,Tencent,1
ByteDance,OpenAI,1
Intel,Ams,1
Intel,Qualcomm,1
Intel,Nvidia,1
Intel,Tsmc,1
Intel,Samsung,1
Cisco,Arista Networks,1
Cisco,Juniper Networks,1
Cisco,Huawei,1
Cisco,Nokia,1
Cisco,Palo Alto Networks,1
Cisco,Fortinet,1
Cisco,Crowdstrike,1
Cisco,Check Point,1
Cisco,Microsoft,1
Cisco,Zoom,1
Oracle,Amazon,1
Oracle,Google,1
Oracle,Microsoft,1
Oracle,SAP,1
Oracle,Saleforce,1
YouTube,ByteDance,1
YouTube,Meta,1
YouTube,Amazon,1
YouTube,Vimeo,1
YouTube,Deezer,1
Palantir,Lockheed Martin,1
Palantir,Raytheon,1
Palantir,Booz Allen Hamilton,1
Palantir,Chapsvision,1
Palantir,Snowflake,1
Palantir,Databricks,1
Palantir,Microsoft,1
Palantir,Amazon,1
Alibaba,Pinduoduo,1
Alibaba,Jd.Com,1
Alibaba,ByteDance,1
Alibaba,Temu,1
Alibaba,Shein,1
Alibaba,Amazon,1
Alibaba,Made-In-China.Com,1
Alibaba,Global Sources,1
ARM Holdings,Intel,1
ARM Holdings,AMD,1
ARM Holdings,Meta,1
ARM Holdings,Google,1
ARM Holdings,Qualcomm,1
Adobe,Canva,1
Adobe,Figma,1
Adobe,Apple,1
Adobe,Midjourney,1
Adobe,Magnific Ai,1
Adobe,OpenAI,1
Adobe,Runway,1
Adobe,Rephrase.ai,1
IBM,Microsoft,1
IBM,Oracle,1
IBM,Google,1
IBM,SAP,1
IBM,Accenture,1
IBM,Capgemini,1
IBM,Infosy,1
IBM,Cognizant,1
IBM,Tata,1
IBM,Openia,1
IBM,Palantir,1
Salesforce,Microsoft,1
Salesforce,Oracle,1
Salesforce,SAP,1
Salesforce,Hubspot,1
Qualcomm,Mediatek,1
Qualcomm,Nvidia,1
Qualcomm,Apple,1
Qualcomm,Samsung,1
Qualcomm,Intel,1
Shopify,Salesforce,1
Shopify,Adobe,1
Shopify,Woocommerce,1
Shopify,Wix Ecommerce,1
Shopify,Squarespace,1
Shopify,SAP,1
Shopify,Amazon,1
OpenAI,Cohere,1
OpenAI,Anthropic,1
OpenAI,Google,1
OpenAI,Meta,1
OpenAI,Moonshot AI,1
OpenAI,DeepSeek,1
OpenAI,Z.ai,1
OpenAI,MiniMax,1
OpenAI,Alibaba,1
OpenAI,Tencent,1
OpenAI,Baidu,1
OpenAI,ByteDance,1
Cloudflare,Akamai,1
Cloudflare,Fastly,1
Cloudflare,Imperva,1
Cloudflare,Amazon,1
Cloudflare,Microsoft,1
Ant Group,Tencent,1
Ant Group,Visa,1
Ant Group,Mastercard,1
Ant Group,Stripe,1
DeepSeek,OpenAI,1
DeepSeek,Anthropic,1
DeepSeek,Moonshot AI,1
DeepSeek,Zhipu AI,1
DeepSeek,Alibaba.,1
Anysphere,Google,1
Anysphere,Microsoft,1
Anysphere,Anthropic,1
Anysphere,Windsurf,1
Anysphere,Codeium,1
Anysphere,OpenAI,1
Anysphere,Meta,1
Figure AI,Tesla,1
Figure AI,Boston Dynamics,1
Figure AI,Agility Robotics,1
Figure AI,Unitree,1
Figure AI,Agibot,1
GitHub,Gitlab,1
GitHub,Atlassianbitbucket,1
GitHub,Cursor,1
GitHub,Anthropic,1
GitHub,Hugging Face,1
Scale AI,Surge AI,1
Scale AI,Snorkel AI,1
Scale AI,Data Annotation,1
Scale AI,Appen,1
Scale AI,Telus digital,1
Scale AI,Sama,1
Scale AI,Cloudfactory,1
Scale AI,Labelbox,1
Scale AI,Superannotate,1
Scale AI,Encord,1
Scale AI,Imerit,1
Scale AI,Refuel,1
Scale AI,Publicai,1
SoftBank Group,N,1
SoftBank Group,A,1
Cognition AI,Cursor,1
Cognition AI,Microsoft,1
Cognition AI,Anthropic,1
Cognition AI,Gitlab,1
Kuaishou,ByteDance,1
Kuaishou,Meta,1
Kuaishou,OpenAI,1
Kuaishou,Black Forest Labs,1
Kuaishou,Runway,1
Kuaishou,Midjourney,1
Cohere,Anthropic,1
Cohere,Mistral AI,1
Cohere,OpenAI,1
Cohere,Meta,1
Cohere,Google,1
Boston Dynamics,Figure AI,1
Boston Dynamics,Tesla,1
Boston Dynamics,Agility Robotics,1
Boston Dynamics,Unitree Robotics,1
Cerebras,Nvidia,1
Cerebras,AMD,1
Cerebras,Intel,1
Cerebras,Google . Aws,1
Cerebras,Microsoft,1
Cerebras,Google,1
Cerebras,CoreWeave,1
Celonis,Sap Signavio,1
Celonis,Microsoft Power Automate,1
Celonis,UiPath,1
Celonis,Ibm Process Mining,1
Celonis,Software Ag,1
Celonis,Appian,1
Celonis,Servicenow,1
Celonis,Durable Capital Partners,1
Mistral AI,OpenAI,1
Mistral AI,Cohere,1
Mistral AI,Anthropic,1
Mistral AI,Google,1
Mistral AI,Meta,1
Mistral AI,Aleph Alpha,1
Mistral AI,H Company,1
Mistral AI,Poolside,1
Mistral AI,DeepL,1
Mistral AI,Helsing,1
Mistral AI,Black Forest Labs,1
Harvey,Cocounsel,1
Harvey,Lexis+ Ai,1
Harvey,Protégé,1
Harvey,Legora,1
Harvey,Legalfly,1
Harvey,Spellbook,1
Harvey,Robin Ai,1
Harvey,Luminance,1
Cognex,Keyence,1
Cognex,Sick Ag,1
Cognex,Omron,1
Cognex,Basler,1
Cognex,Teledyne,1
Wayve,Google,1
Tempus AI,Guardant Health,1
Tempus AI,Natera,1
Tempus AI,Roche,1
Mobileye,Nvidia,1
Mobileye,Qualcomm,1
Mobileye,Tesla,1
Mobileye,Google,1
UiPath,N,1
UiPath,A,1
Abridge,Microsoft,1
Abridge,Ambience Healthcare,1
Abridge,Deepscribe,1
Abridge,Nabla,1
Abridge,Freed,1
Ineffable Intelligence,Google,1
Ineffable Intelligence,Recursive Superintelligence,1
Ineffable Intelligence,AMI labs,1
World Labs,AMI labs,1
World Labs,Google,1
World Labs,Odyssey,1
Hugging Face,Microsoft,1
Hugging Face,Replicate,1
Hugging Face,Togetherai,1
Hugging Face,Fireworks AI,1
Hugging Face,civitai,1
Hugging Face,Kaggle,1
Synthesia,HeyGen,1
Synthesia,OpenAI,1
Synthesia,Runway(Gen-2,1
Synthesia,Gen-3),1
Synthesia,Hour One,1
Synthesia,Colossyan,1
Doctolib,Nabla,1
Doctolib,Scribe Médical,1
Doctolib,Tandem Health,1
Doctolib,Heidi Health,1
Doctolib,Microsoft,1
Doctolib,Synapse Medicine,1
Doctolib,Maiia,1
Doctolib,Zocdoc,1
Doctolib,Miodottore,1
Doctolib,Docplanner,1
Doctolib,Topdoctors,1
AMI labs,Ineffable Intelligence,1
AMI labs,Thinking Machines Lab,1
AMI labs,OpenAI,1
AMI labs,Google,1
AMI labs,Meta,1
Black Forest Labs,Midjourney,1
Black Forest Labs,OpenAI,1
Black Forest Labs,Stability AI,1
Black Forest Labs,Google,1
Black Forest Labs,Kuaishou,1
Black Forest Labs,Shengshu Technology,1
Black Forest Labs,Zhipu AI,1
Black Forest Labs,Alibaba,1
Black Forest Labs,Tencent,1
Black Forest Labs,ByteDance,1
Sakana AI,OpenAI,1
Sakana AI,Anthropic,1
Sakana AI,Google,1
Sakana AI,Mistral AI,1
Sakana AI,Ineffable Intelligence,1
Sakana AI,Cognition AI,1
Sakana AI,Poolside,1
Sakana AI,Hugging Face,1
Sakana AI,Cohere,1
ManoMano,Leroy Merlin,1
ManoMano,Groupe Kingfisher,1
ManoMano,Bricoman,1
ManoMano,Bricoprivé,1
ManoMano,Bricozor,1
ManoMano,Plomberie-Pro,1
DeepL,Google,1
DeepL,Microsoft,1
DeepL,Reverso And Yandex,1
DeepL,Translate.,1
Aleph Alpha,Anthropic,1
Aleph Alpha,Cohere,1
Aleph Alpha,Mistral AI,1
Aleph Alpha,OpenAI,1
Semrush,Ahrefs,1
Semrush,Similarweb,1
Semrush,Se Ranking,1
Weibo,N,1
Weibo,Baidu,1
Weibo,Zhihu,1
Weibo,ByteDance,1
Weibo,Kuaishou,1
Weibo,Bilibili,1
Weibo,Xiaohongshu,1
Weibo,Tencent,1
Job&Talent,Mistertempo,1
Job&Talent,Gojob,1
Job&Talent,Plany,1
Job&Talent,Bruce,1
Job&Talent,Adecco,1
Job&Talent,Manpower,1
Job&Talent,Randstad,1
Job&Talent,Staffme,1
Job&Talent,Brigad,1
Oxford Nanopore Technologies,Pacific Biosciences,1
Oxford Nanopore Technologies,Mgi Tech,1
Oxford Nanopore Technologies,Complete Genomics,1
Oxford Nanopore Technologies,Singular Genomics,1
Oxford Nanopore Technologies,Element Biosciences,1
Oxford Nanopore Technologies,Illumina,1
Ambiance Healthcare,Positionnement,1
Ambiance Healthcare,Abridge,1
Ambiance Healthcare,Microsoft,1
Ambiance Healthcare,Nabla,1
Ambiance Healthcare,Suki,1
Ambiance Healthcare,Epic Systems,1
Ambiance Healthcare,Oracle Health,1
Ambiance Healthcare,Athnahealth,1
DentalMonitoring,Grin,1
DentalMonitoring,Dentalai,1
DentalMonitoring,Inhand Dental,1
DentalMonitoring,Align Technology,1
DentalMonitoring,Straumann Group,1
WhiteFiber,CoreWeave,1
WhiteFiber,Lambda Labs,1
WhiteFiber,Voltage Park,1
WhiteFiber,Iren Cloud,1
WhiteFiber,Equinix Databank,1
WhiteFiber,Google Compute Engine,1
WhiteFiber,Microsoft,1
WhiteFiber,AWS,1
Owkin,Isomorphic Labs,1
Owkin,Exscientia,1
Owkin,Recursion Pharmaceuticals,1
Owkin,Insilico Medicine,1
Owkin,Schrödinger,1
Owkin,Iktos,1
Owkin,Aqemia,1
Owkin,Biomap,1
Owkin,Tempus,1
Owkin,Paige AI,1
Owkin,Tribun Health,1
PolyAI,Bland Ai,1
PolyAI,Vapi,1
PolyAI,Retell Ai,1
PolyAI,Parloa,1
PolyAI,IBM,1
PolyAI,Google,1
Corti,Microsoft,1
Corti,AWS,1
Corti,Huma,1
Corti,Medeanalytics,1
Corti,Suki Ai,1
Corti,Nabla,1
Gleamer,Aidoc,1
Gleamer,Rapidai,1
Gleamer,Rad Ai,1
Gleamer,Annalise.Ai,1
Prophesee,Samsung,1
Prophesee,Omnivision Technologies,1
Prophesee,Sony,1
Prophesee,Inivation,1
Prophesee,Oculi,1
Prophesee,Insightness,1
Prophesee,Cognex,1
Prophesee,Keyence,1
Prophesee,Sick Ag,1
Comand AI,Anduril Industries,1
Comand AI,Palantir,1
Comand AI,Thales,1
Comand AI,Airbus,1
Nabla,Abridge,1
Nabla,Microsoft(Nuance,1
Nabla,Dax Epic) & Oracle,1
Volta medical,Biosense Webster,1
Volta medical,Johnson & Johnson,1
Volta medical,Medtronic,1
Volta medical,Abbott,1
OLLAMA,VLLM,1
OLLAMA,Llama.Ccp,1
OLLAMA,Lm Studio,1
OLLAMA,Langchain,1
OLLAMA,Llamaindex,1
OLLAMA,Huggingface,1
Paige AI,Pathai,1
Paige AI,Ibex Medical Analytics,1
Paige AI,Proscia,1
Arago,Lightmatter,1
Arago,Luminous Computing,1
Arago,Rain Ai,1
Arago,Groq,1
Arago,Nvidia,1
Arago,AMD,1
Art Recognition,Startbahn,1
Art Recognition,Verisart,1
Art Recognition,InsightART.,1
DarwinAI,N,1
DarwinAI,A,1
4.screen,Telenav,1
4.screen,Cerence,1
4.screen,Connected Travel,1
Doubleword,Baseten Technologies,1
Doubleword,Fireworks AI,1
Doubleword,Liquid AI,1
Doubleword,Scale AI,1
Doubleword,Comet,1
BenevolentAI,Exscientia,1
EbenBuild,Dassault Systèmes(Projet Living Heart,1
EbenBuild,Living Lung),1
EbenBuild,InSilicoTrials,1
EbenBuild,Virtonomy,1
Altavo GmbH,Atos Medical,1
Altavo GmbH,Lip Reading Systems,1
Amberscript,Happy Scribe,1
Amberscript,Sonix,1
Amberscript,Trint,1
Amberscript,Tl,1
Amberscript,Dv,1
Amberscript,Otter.Ai,1
Amberscript,Transkriptor,1
Amberscript,Gotranscript,1
20face,Brighter Ai,1
20face,Bioid,1
20face,Iproov,1
20face,Privateid,1
20face,Oosto(Anciennement Anyvision - Israël,1
20face,Usa),1
20face,Incode Technologies,1
20face,Thales Group,1
20face,Cognitec Systems,1
3ive AI,Dassault Systèmes,1
3ive AI,Siemens Digital Industries Software,1
3ive AI,Ptc,1
3ive AI,Simus Systems,1
3ive AI,Cadenas,1
Dexter,Workato,1
Dexter,Automation Anywhere,1
Dexter,Coupa Software,1
PharmAI,Isomorphic Labs,1
PharmAI,Chai Discovery,1
PharmAI,Xaira Therapeutics,1
AI Medical Technology,Skin Analytics,1
AI Medical Technology,Dermasensor,1
AI Medical Technology,Metaoptima,1
AI Medical Technology,Dermengine,1
AI Medical Technology,Miiskin,1
AI Medical Technology,Skinio,1
HughGrants,Grantify,1
HughGrants,Egrants,1
HughGrants,Opengrants,1
Skylab,Picterra,1
Skylab,Orbify,1
Prognostix AB,SKF Ensemble,1
Prognostix AB,Ambyint,1
Prognostix AB,SparkCognition,1
Prognostix AB,Uptake,1
